"fips","admin2","province_state","country_region","last_update","latitude","longitude","confirmed","deaths","recovered","active","combined_key"
"","","","Singapore","2020-01-23T17:00:00","1.283","103.833","1",,,,"Singapore"
"","","","Singapore","2020-01-24T17:00:00","1.283","103.833","3",,,,"Singapore"
"","","","Singapore","2020-01-25T17:00:00","1.283","103.833","3",,,,"Singapore"
"","","","Singapore","2020-01-26T16:00:00","1.283","103.833","4",,,,"Singapore"
"","","","Singapore","2020-01-27T23:59:00","1.283","103.833","5",,,,"Singapore"
"","","","Singapore","2020-01-28T23:00:00","1.283","103.833","7",,,,"Singapore"
"","","","Singapore","2020-01-29T19:30:00","1.283","103.833","7",,,,"Singapore"
"","","","Singapore","2020-01-30T16:00:00","1.283","103.833","10",,,,"Singapore"
"","","","Singapore","2020-01-31T23:59:00","1.283","103.833","13",,,,"Singapore"
"","","","Singapore","2020-02-01T05:37:00","1.283","103.833","16","0","0",,"Singapore"
"","","","Singapore","2020-02-02T01:03:32","1.283","103.833","18","0","0",,"Singapore"
"","","","Singapore","2020-02-04T15:33:03","1.283","103.833","24","0","0",,"Singapore"
"","","","Singapore","2020-02-05T16:33:03","1.283","103.833","28","0","0",,"Singapore"
"","","","Singapore","2020-02-07T03:03:03","1.283","103.833","30","0","0",,"Singapore"
"","","","Singapore","2020-02-08T12:53:01","1.283","103.833","33","0","2",,"Singapore"
"","","","Singapore","2020-02-09T02:43:02","1.283","103.833","40","0","2",,"Singapore"
"","","","Singapore","2020-02-10T19:03:02","1.283","103.833","45","0","2",,"Singapore"
"","","","Singapore","2020-02-11T16:43:06","1.283","103.833","47","0","9",,"Singapore"
"","","","Singapore","2020-02-12T19:53:02","1.283","103.833","50","0","15",,"Singapore"
"","","","Singapore","2020-02-13T14:33:02","1.283","103.833","58","0","15",,"Singapore"
"","","","Singapore","2020-02-14T12:43:02","1.283","103.833","67","0","17",,"Singapore"
"","","","Singapore","2020-02-15T23:53:02","1.283","103.833","72","0","18",,"Singapore"
"","","","Singapore","2020-02-16T16:23:06","1.283","103.833","75","0","18",,"Singapore"
"","","","Singapore","2020-02-17T14:33:04","1.283","103.833","77","0","24",,"Singapore"
"","","","Singapore","2020-02-18T16:53:03","1.283","103.833","81","0","29",,"Singapore"
"","","","Singapore","2020-02-19T22:13:08","1.283","103.833","84","0","34",,"Singapore"
"","","","Singapore","2020-02-21T03:43:02","1.283","103.833","85","0","37",,"Singapore"
"","","","Singapore","2020-02-23T15:13:15","1.283","103.833","89","0","51",,"Singapore"
"","","","Singapore","2020-02-25T18:55:32","1.283","103.833","91","0","53",,"Singapore"
"","","","Singapore","2020-02-26T19:33:02","1.283","103.833","93","0","62",,"Singapore"
"","","","Singapore","2020-02-29T14:33:03","1.283","103.833","102","0","72",,"Singapore"
"","","","Singapore","2020-03-01T23:23:02","1.283","103.833","106","0","72",,"Singapore"
"","","","Singapore","2020-03-02T20:33:02","1.283","103.833","108","0","78",,"Singapore"
"","","","Singapore","2020-03-03T15:23:03","1.283","103.833","110","0","78",,"Singapore"
