Date,Type,Value
06/02/20,Daily Average,6
07/02/20,Daily Average,3
08/02/20,Daily Average,14.2
09/02/20,Daily Average,6.6
11/02/20,Daily Average,4
13/02/20,Daily Average,13
14/02/20,Daily Average,7.5
19/02/20,Daily Average,6
20/02/20,Daily Average,5
22/02/20,Daily Average,19
26/02/20,Daily Average,7.5
27/02/20,Daily Average,13
03/03/20,Daily Average,4
04/03/20,Daily Average,8
06/03/20,Daily Average,7
07/03/20,Daily Average,9
08/03/20,Daily Average,5
11/03/20,Daily Average,7
13/03/20,Daily Average,5
16/03/20,Daily Average,13
17/03/20,Daily Average,6
18/03/20,Daily Average,7.5
19/03/20,Daily Average,5
20/03/20,Daily Average,8
21/03/20,Daily Average,9
22/03/20,Daily Average,12
23/03/20,Daily Average,3
24/03/20,Daily Average,3.2
25/03/20,Daily Average,6.9
26/03/20,Daily Average,2.3
27/03/20,Daily Average,10.5
28/03/20,Daily Average,7.1
29/03/20,Daily Average,6.7
30/03/20,Daily Average,3.3
31/03/20,Daily Average,4.5
01/04/20,Daily Average,6
02/04/20,Daily Average,6
03/04/20,Daily Average,4
04/04/20,Daily Average,5.3
05/04/20,Daily Average,5
06/04/20,Daily Average,4.3
07/04/20,Daily Average,6
08/04/20,Daily Average,5.1
09/04/20,Daily Average,3.6
06/02/20,Moving Average (14-day),6
07/02/20,Moving Average (14-day),4.3
08/02/20,Moving Average (14-day),11.5
09/02/20,Moving Average (14-day),8.9
11/02/20,Moving Average (14-day),8.6
13/02/20,Moving Average (14-day),8.6
14/02/20,Moving Average (14-day),8.5
19/02/20,Moving Average (14-day),8.3
20/02/20,Moving Average (14-day),8
22/02/20,Moving Average (14-day),8.6
26/02/20,Moving Average (14-day),8.5
27/02/20,Moving Average (14-day),8.8
03/03/20,Moving Average (14-day),8.7
04/03/20,Moving Average (14-day),8.6
06/03/20,Moving Average (14-day),8.7
07/03/20,Moving Average (14-day),8.9
08/03/20,Moving Average (14-day),7.8
11/03/20,Moving Average (14-day),8.3
13/03/20,Moving Average (14-day),8.6
16/03/20,Moving Average (14-day),8.6
17/03/20,Moving Average (14-day),8.8
18/03/20,Moving Average (14-day),9.2
19/03/20,Moving Average (14-day),9.9
20/03/20,Moving Average (14-day),8.6
21/03/20,Moving Average (14-day),9.2
22/03/20,Moving Average (14-day),6.7
23/03/20,Moving Average (14-day),7.8
24/03/20,Moving Average (14-day),7.6
25/03/20,Moving Average (14-day),8.9
26/03/20,Moving Average (14-day),5.6
27/03/20,Moving Average (14-day),5.8
28/03/20,Moving Average (14-day),6
29/03/20,Moving Average (14-day),6
30/03/20,Moving Average (14-day),5.6
31/03/20,Moving Average (14-day),5.4
01/04/20,Moving Average (14-day),5.5
02/04/20,Moving Average (14-day),5.6
03/04/20,Moving Average (14-day),5.4
04/04/20,Moving Average (14-day),5.1
05/04/20,Moving Average (14-day),5.1
06/04/20,Moving Average (14-day),5.1
07/04/20,Moving Average (14-day),5.2
08/04/20,Moving Average (14-day),4.8
09/04/20,Moving Average (14-day),4.4
