Date,Type,Value
27/03/20,Local Unlinked,84
28/03/20,Local Unlinked,94
29/03/20,Local Unlinked,100
30/03/20,Local Unlinked,109
31/03/20,Local Unlinked,124
01/04/20,Local Unlinked,147
02/04/20,Local Unlinked,159
03/04/20,Local Unlinked,170
04/04/20,Local Unlinked,192
05/04/20,Local Unlinked,226
06/04/20,Local Unlinked,243
07/04/20,Local Unlinked,277
08/04/20,Local Unlinked,324
09/04/20,Local Unlinked,375
27/03/20,Local Linked,229
28/03/20,Local Linked,247
29/03/20,Local Linked,259
30/03/20,Local Linked,275
31/03/20,Local Linked,291
01/04/20,Local Linked,322
02/04/20,Local Linked,351
03/04/20,Local Linked,396
04/04/20,Local Linked,442
05/04/20,Local Linked,524
06/04/20,Local Linked,572
07/04/20,Local Linked,641
08/04/20,Local Linked,734
09/04/20,Local Linked,967
27/03/20,Imported,419
28/03/20,Imported,461
29/03/20,Imported,485
30/03/20,Imported,495
31/03/20,Imported,511
01/04/20,Imported,531
02/04/20,Imported,539
03/04/20,Imported,548
04/04/20,Imported,555
05/04/20,Imported,559
06/04/20,Imported,560
07/04/20,Imported,563
08/04/20,Imported,565
09/04/20,Imported,568
