Date,Type,Value
27/03/20,Local Unlinked,8
28/03/20,Local Unlinked,10
29/03/20,Local Unlinked,6
30/03/20,Local Unlinked,9
31/03/20,Local Unlinked,15
01/04/20,Local Unlinked,23
02/04/20,Local Unlinked,12
03/04/20,Local Unlinked,11
04/04/20,Local Unlinked,22
05/04/20,Local Unlinked,34
06/04/20,Local Unlinked,17
07/04/20,Local Unlinked,34
08/04/20,Local Unlinked,47
09/04/20,Local Unlinked,51
27/03/20,Local Linked,19
28/03/20,Local Linked,18
29/03/20,Local Linked,12
30/03/20,Local Linked,16
31/03/20,Local Linked,16
01/04/20,Local Linked,31
02/04/20,Local Linked,29
03/04/20,Local Linked,45
04/04/20,Local Linked,46
05/04/20,Local Linked,82
06/04/20,Local Linked,48
07/04/20,Local Linked,69
08/04/20,Local Linked,93
09/04/20,Local Linked,233
27/03/20,Imported,22
28/03/20,Imported,42
29/03/20,Imported,24
30/03/20,Imported,10
31/03/20,Imported,16
01/04/20,Imported,20
02/04/20,Imported,8
03/04/20,Imported,9
04/04/20,Imported,7
05/04/20,Imported,4
06/04/20,Imported,1
07/04/20,Imported,3
08/04/20,Imported,2
09/04/20,Imported,3
